,block_number,transaction_hash,log_index,sender,to,amount0In,amount1In,amount0Out,amount1Out,pre_swap_reserve0,pre_swap_reserve1,post_swap_reserve0,post_swap_reserve1,pair0,pair0_cost,pair1,pair1_cost
0,19008595,0x8a8e834da66401f6eb0d0ed4bdb0808c5b20fe8b9e53473a945e7677f97e0702,9,0x01bD2da640345F1C29831B7CEf9a434298408172,0x3778F73e949c98817A1F96c58121323754B429DA,0,0.688898319006572544,268.626258757920152162,0,336237563429604705257733,860391121119706463429,335968937170846785105571,861080019438713035973,UNI,390.1715631374712390013081230,ETH,0.002562975097310371227242014593
1,19008848,0x8e6618881e2c7728f90b0c4fcbc16341b378b867fbe974bf348480422d05cbb3,170,0xDef1C0ded9bec7F1a1670819833240f027b25EfF,0x7B73644935b8e68019aC6356c40661E1bc315860,0.942433047985549400,0,0,0.002404330367754872,336238505862652690807133,860388716789338708557,336239448295700676356533,860386312458970953685,UNI,390.8005548516148092737907217,ETH,0.002558850000557689702801249872
2,19008905,0x30d6ab79c4b63874d787e4741f23025e83e5168c1dc3c16a4fa88c380359c139,118,0x3fC91A3afd70395Cd496C647d5a6CC9D4B2b7FAD,0x3fC91A3afd70395Cd496C647d5a6CC9D4B2b7FAD,3.951955313698668221,0,0,0.010082061762641718,336238505862652690807133,860368522210116359435,336242457817966389475354,860358440148353717717,UNI,390.8167132759077450497658349,ETH,0.002558744204201990349525997054
3,19009412,0xf5bc281ca115fce281fada07524ba69ff24deb310bedd14089e9b4863e3b3a5e,45,0x51C72848c68a965f66FA7a88855F9f7784502a7F,0x51C72848c68a965f66FA7a88855F9f7784502a7F,0,1.342029351284084992,522.087229027838918656,0,335716418633624851888477,861710551561400444427,335194331404597012969821,863052580912684529419,UNI,388.3822826300183380634418073,ETH,0.002574782745567779669627055015
4,19009440,0x8276afab714a420cd26f602bdfc8717d200656823202da1a4ff5d7203e0cc150,338,0x3fC91A3afd70395Cd496C647d5a6CC9D4B2b7FAD,0x9b2662DC8b80B0fE79310AD316b943CB5Bb15e8b,0,0.112952080522398365,43.867593598215070816,0,335672551040026636817661,861823503641922842792,335628683446428421746845,861936455722445241157,UNI,389.3891263307990615977338299,ETH,0.002568125128256577502647478467
5,19009510,0x8fca67cdb0833bac7d2da986497e41b9d164eccf213d4ec49b93a3a95eb318b7,147,0x3fC91A3afd70395Cd496C647d5a6CC9D4B2b7FAD,0xCEde28c51b86988A2e91A4C27e80733e0ADBfE7D,8.000000000000000000,0,0,0.020477518686177260,335680551040026636817661,861803026123236665532,335688551040026636817661,861782548604550488272,UNI,389.5281374444092491995563852,ETH,0.002567208640076002354934400064
6,19009586,0xd2fd84f09bec1e576cce0babda370a03f7ce70324d2c433b46e54f69e47dd9a8,152,0x3fC91A3afd70395Cd496C647d5a6CC9D4B2b7FAD,0xB7426bFd2abF64428fA82A71b0D44B056FfCC286,5.000000000000000000,0,0,0.012797954108788517,335685551040026636817661,861790228169127877015,335690551040026636817661,861777430215019088498,UNI,389.5327717694691253305279556,ETH,0.002567178097641072962871293042
7,19009692,0xdc5b3bff1eab83f0d0d7705ba37f8fa13408cacfe9d3c82ac790ab10637e64bb,62,0xE37e799D5077682FA0a244D46E5649F71457BD09,0xE37e799D5077682FA0a244D46E5649F71457BD09,48.902000000000000000,0,0,0.125149069213408857,335734453040026636817661,861665079099914468158,335783355040026636817661,861539930030701059301,UNI,389.7478727748126128793158485,ETH,0.002565761277619023922376752269
8,19009706,0xc2f02f4338cbf6da8c00833b43a601b33beb04b199c59e5d728c904b44d94710,42,0xA69babEF1cA67A37Ffaf7a485DfFF3382056e78C,0xA69babEF1cA67A37Ffaf7a485DfFF3382056e78C,0,3.835406939805476580,1483.340916295412289083,0,334251112123731224528578,865500486039719944738,332767771207435812239495,869335892979525421318,UNI,382.7838858314264392487844116,ETH,0.002612440170588550694126202234
9,19009788,0x380211e73040881b3facc0d550880f795202a35002e9e0a0c4fa9a339edc9dc9,312,0xA69babEF1cA67A37Ffaf7a485DfFF3382056e78C,0xA69babEF1cA67A37Ffaf7a485DfFF3382056e78C,0,1.514051806367078431,581.948630464096850567,0,333669163493267127678011,867014537846087023169,333087214862803030827444,868528589652454101600,UNI,383.5074847635003980268502818,ETH,0.002607511038843675561709371603
10,19009816,0x87b312c5405640e17673ab3ec65f7f27140a98a8236713c91358d2ad16c3256b,192,0x3fC91A3afd70395Cd496C647d5a6CC9D4B2b7FAD,0x3fC91A3afd70395Cd496C647d5a6CC9D4B2b7FAD,2.000000000000000000,0,0,0.005181229931448246,333671163493267127678011,867009356616155574923,333673163493267127678011,867004175386224126677,UNI,384.8576200277534182436932689,ETH,0.002598363519287695357311760720
11,19009956,0xbbf64512e4182aa668bbee2def71d9d11a641b11a403aba0a938e2640a43b83c,219,0xDef1C0ded9bec7F1a1670819833240f027b25EfF,0x2D0BA902baDAA82592f0E1C04c71d66ceA21D921,5.000000000000000000,0,0,0.012952803675803471,333676163493267127678011,866996403812479771452,333681163493267127678011,866983451008803967981,UNI,384.8760470629544822569109219,ETH,0.002598239115245405754544322608
12,19010029,0x7cb1f9664f4d40e8f65ff6caac71afc61c623ea8710d9f38a61b7e786175afef,98,0x68b3465833fb72A70ecDF485E0e4C7bD8665Fc45,0x9D16dD208c18Ece2532E6BB51244a45F5Dd972A7,0,0.010424666059845768,4.000000000000000165,0,333672163493267127677846,867006828478539617220,333668163493267127677681,867017253144599462988,UNI,384.8460480839111927011369579,ETH,0.002598441649534521560224644888
13,19010029,0x85edfe9ecd1f7388b4011e234845f2054bc024b7a1cebd156977d3f4806429dc,293,0x3fC91A3afd70395Cd496C647d5a6CC9D4B2b7FAD,0x3fC91A3afd70395Cd496C647d5a6CC9D4B2b7FAD,325.315351433101820104,0,0,0.841938393868228148,333997478844700229497950,866164890084671389072,334322794196133331318054,865322951690803160924,UNI,386.3560923038979021744179065,ETH,0.002588285832473492783138355888
14,19010066,0x4499ba147980a94d74861226065b1c21ab8b4ef8ba274ca07635a78afc23222e,87,0x51C72848c68a965f66FA7a88855F9f7784502a7F,0x51C72848c68a965f66FA7a88855F9f7784502a7F,0,1.380667382251673856,529.950159372981829632,0,333467528685327247668318,867545557466923062928,332937578525954265838686,868926224849174736784,UNI,383.1597769807723780641962460,ETH,0.002609877288998896493803187530
15,19010114,0x92ec57259a6df00c38601599411932dffe1d68383cc72f7655fc2bae6a683ada,75,0xA69babEF1cA67A37Ffaf7a485DfFF3382056e78C,0xA69babEF1cA67A37Ffaf7a485DfFF3382056e78C,0,1.570176706391955412,600.650691155503440654,0,332866877994171744227664,869115734173315018340,332266227303016240787010,870685910879706973752,UNI,381.6143377895106245027281024,ETH,0.002620446615796642765773058883
16,19010168,0x5c986f2b30b159ef2eef41b40c3c148ae2b683b7aebfdc53846df151b085078b,250,0x3fC91A3afd70395Cd496C647d5a6CC9D4B2b7FAD,0x3fC91A3afd70395Cd496C647d5a6CC9D4B2b7FAD,3.270143706246998554,0,0,0.008512649894942945,332870148137877991226218,869107221523420075395,332873418281584238224772,869098708873525132450,UNI,383.0099100170511999512312804,ETH,0.002610898501178418719254644674
17,19010171,0xe703036f50cf83e539a41f532e794c67f024ed19d889e5e329624d7556c1e889,108,0x3fC91A3afd70395Cd496C647d5a6CC9D4B2b7FAD,0xD40C3016791BF8Ae0A21F56939a85599CF945a26,122.000000000000000000,0,0,0.317464254234983924,332992148137877991226218,868789757269185091471,333114148137877991226218,868472293014950107547,UNI,383.5633569626655640337599101,ETH,0.002607131212738175542971794577
18,19010193,0x2ef5865ead7e8c337b5dd74b6c489fa5307128d9623dbef58ee4211da1565398,189,0xA69babEF1cA67A37Ffaf7a485DfFF3382056e78C,0xA69babEF1cA67A37Ffaf7a485DfFF3382056e78C,0,1.370625668883992651,522.938669926957169288,0,332469209467951034056930,870160382938069084122,331946270798024076887642,871531008606953076773,UNI,380.8771776561385433077238057,ETH,0.002625518300030080949666593823
19,19010408,0xf190b97fc72d7479f9fefa4b1a3f981c2400a720a67346b1cd6cf40a89afbae0,68,0x51C72848c68a965f66FA7a88855F9f7784502a7F,0x51C72848c68a965f66FA7a88855F9f7784502a7F,0,1.370019286608943104,521.063447555879206912,0,331948146020395154850018,871530402224678027226,331427082572839275643106,872900421511286970330,UNI,379.6848694367983917705359164,ETH,0.002633763103289682350176801162
20,19010455,0x596c152fedaa27c613c810a1f540dd9969a94d7b06cf66ed1c1f27cfc009a5fe,497,0x1111111254EEB25477B68fb85Ed929f73A960582,0xd27383048f41EF6ea1ED7B01BE977c7e40b0D946,12.919206287205469017,0,0,0.033816326959099203,331961065226682360319035,871496585897718928023,331973984432969565788052,871462769570759828820,UNI,380.9388031533278270312003808,ETH,0.002625093562856341805257484571
